2017-03-29 02:59:14,881  INFO [main] TestNG_FB_TestCase001:20 - Checking Method EmailPhone Text
 INFO 2017-03-30 10:56:19,839 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-03-30 10:56:20,042 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:22 - Asserting Forgotten Account Link
 INFO 2017-03-30 10:56:20,043 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-03-30 10:56:20,211 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-03-30 10:56:20,420 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-03-30 10:56:20,421 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-03-30 10:56:20,503 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-03-30 10:59:03,138 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-03-30 10:59:03,289 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:22 - Asserting Forgotten Account Link
 INFO 2017-03-30 10:59:03,290 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-03-30 10:59:03,443 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-03-30 10:59:03,660 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-03-30 10:59:03,661 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-03-30 10:59:03,734 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
